,feature1,feature2,y_train
0,4.0212385965949355,4.523893421169302,0
1,3.4557519189487724,3.078760800517997,0
2,1.9477874452256716,1.6964600329384882,0
3,5.592034923389832,2.0734511513692637,0
4,1.8221237390820801,2.0734511513692637,0
5,3.895574890451343,1.5707963267948966,0
6,2.1362830044410597,1.7592918860102842,0
7,2.4504422698000385,1.8849555921538756,0
8,5.969026041820607,2.764601535159018,0
9,5.026548245743669,1.3194689145077132,0
10,0.7539822368615503,1.8221237390820801,0
11,6.157521601035994,1.6964600329384882,0
12,4.1469023027385274,1.6336281798666925,0
13,4.461061568097507,1.5079644737231006,0
14,3.7699111843077513,5.215043804959057,0
15,0.43982297150257105,5.403539364174444,0
16,1.8221237390820801,4.71238898038469,0
17,2.324778563656447,3.8327430373795477,0
18,5.0893800988154645,1.2566370614359172,0
19,5.340707511102648,4.71238898038469,0
20,2.0734511513692637,1.5079644737231006,0
21,4.209734155810323,1.9477874452256716,0
22,1.8221237390820801,1.3194689145077132,0
23,3.895574890451343,2.764601535159018,0
24,3.6442474781641603,2.324778563656447,0
25,1.7592918860102842,5.592034923389832,1
26,4.900884539600077,2.324778563656447,1
27,4.1469023027385274,3.204424506661589,1
28,2.0734511513692637,5.466371217246239,1
29,0.0,0.5026548245743669,1
30,5.340707511102648,3.015928947446201,1
31,1.6336281798666925,6.031857894892402,1
32,0.8168140899333463,4.209734155810323,1
33,1.0053096491487339,6.094689747964199,1
34,0.43982297150257105,3.7699111843077513,1
35,4.1469023027385274,0.0,1
36,4.209734155810323,0.5654866776461628,1
37,5.026548245743669,6.220353454107791,1
38,2.0734511513692637,5.403539364174444,1
39,3.6442474781641603,1.0053096491487339,1
40,0.7539822368615503,3.330088212805181,1
41,4.39822971502571,5.906194188748811,1
42,4.39822971502571,6.157521601035994,1
43,0.6911503837897545,4.39822971502571,1
44,3.078760800517997,4.586725274241098,1
45,0.6911503837897545,3.204424506661589,1
46,3.8327430373795477,4.39822971502571,1
47,5.529203070318036,5.843362335677015,1
48,3.9584067435231396,0.6911503837897545,1
49,4.523893421169302,0.37699111843077515,1
